"","X","DistCode","DistName","SchCode","Year","Takeover","SchName","SchType","Neighborhood","Charter","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"16",16,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Race7","HI7","ELA",25,82,22,0,129,19.3798449612403,63.5658914728682,17.0542635658915,0
"17",17,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Race7","WH7","ELA",0,0,0,0,0,0,0,0,0
"18",18,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","sex","Female","ELA",11,39,16,0,66,16.6666666666667,59.0909090909091,24.2424242424242,0
"19",19,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","sex","Male","ELA",17,43,8,0,68,25,63.2352941176471,11.7647058823529,0
"20",20,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","All Students","All","Math",36,69,28,0,133,27.0676691729323,51.8796992481203,21.0526315789474,0
"21",21,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","foster","No","Math",36,69,28,0,133,27.0676691729323,51.8796992481203,21.0526315789474,0
"22",22,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Grade","3","Math",7,23,9,0,39,17.9487179487179,58.974358974359,23.0769230769231,0
"23",23,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Grade","4","Math",13,22,12,0,47,27.6595744680851,46.8085106382979,25.531914893617,0
"24",24,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Grade","5","Math",16,24,7,0,47,34.0425531914894,51.063829787234,14.8936170212766,0
"25",25,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","homeless","No","Math",36,69,28,0,133,27.0676691729323,51.8796992481203,21.0526315789474,0
"26",26,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","iepdata","NOT SWD","Math",24,68,28,0,120,20,56.6666666666667,23.3333333333333,0
"27",27,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","iepdata","SWD","Math",12,1,0,0,13,92.3076923076923,7.69230769230769,0,0
"28",28,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lep","ELL","Math",22,29,10,0,61,36.0655737704918,47.5409836065574,16.3934426229508,0
"29",29,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lep","Not ELL","Math",14,40,18,0,72,19.4444444444444,55.5555555555556,25,0
"30",30,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lunchdata","No","Math",3,4,4,0,11,27.2727272727273,36.3636363636364,36.3636363636364,0
"31",31,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","lunchdata","Yes","Math",33,65,24,0,122,27.0491803278689,53.2786885245902,19.672131147541,0
"32",32,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","migrant","No","Math",36,69,28,0,133,27.0676691729323,51.8796992481203,21.0526315789474,0
"33",33,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","military","No","Math",36,69,28,0,133,27.0676691729323,51.8796992481203,21.0526315789474,0
"34",34,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Race7","AM7","Math",0,0,0,0,0,0,0,0,0
"35",35,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Race7","HI7","Math",33,68,27,0,128,25.78125,53.125,21.09375,0
"36",36,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","Race7","WH7","Math",0,0,0,0,0,0,0,0,0
"37",37,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","sex","Female","Math",13,36,17,0,66,19.6969696969697,54.5454545454545,25.7575757575758,0
"38",38,28,"Providence",28103,2018,"Pre Takeover","Leviton Dual Language School","Elementary School","West End","No","sex","Male","Math",23,33,11,0,67,34.3283582089552,49.2537313432836,16.4179104477612,0
"39",39,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","All Students","All","ELA",75,21,7,0,103,72.8155339805825,20.3883495145631,6.79611650485437,0
"40",40,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","foster","No","ELA",75,21,7,0,103,72.8155339805825,20.3883495145631,6.79611650485437,0
"41",41,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Grade","11","ELA",75,21,7,0,103,72.8155339805825,20.3883495145631,6.79611650485437,0
"42",42,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","homeless","No","ELA",75,21,7,0,103,72.8155339805825,20.3883495145631,6.79611650485437,0
"43",43,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","iepdata","NOT SWD","ELA",64,20,6,0,90,71.1111111111111,22.2222222222222,6.66666666666667,0
"44",44,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","iepdata","SWD","ELA",11,1,1,0,13,84.6153846153846,7.69230769230769,7.69230769230769,0
"45",45,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lep","ELL","ELA",52,3,0,0,55,94.5454545454545,5.45454545454545,0,0
"46",46,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lep","Not ELL","ELA",23,18,7,0,48,47.9166666666667,37.5,14.5833333333333,0
"47",47,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lunchdata","No","ELA",8,5,0,0,13,61.5384615384615,38.4615384615385,0,0
"48",48,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lunchdata","Yes","ELA",67,16,7,0,90,74.4444444444444,17.7777777777778,7.77777777777778,0
"49",49,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","migrant","No","ELA",75,21,7,0,103,72.8155339805825,20.3883495145631,6.79611650485437,0
"50",50,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","military","No","ELA",75,21,7,0,103,72.8155339805825,20.3883495145631,6.79611650485437,0
"51",51,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","AS7","ELA",0,0,0,0,0,0,0,0,0
"52",52,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","BL7","ELA",0,0,0,0,0,0,0,0,0
"53",53,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","HI7","ELA",67,12,5,0,84,79.7619047619048,14.2857142857143,5.95238095238095,0
"54",54,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","MU7","ELA",0,0,0,0,0,0,0,0,0
"55",55,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","WH7","ELA",0,0,0,0,0,0,0,0,0
"56",56,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","sex","Female","ELA",35,14,2,0,51,68.6274509803922,27.4509803921569,3.92156862745098,0
"57",57,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","sex","Male","ELA",40,7,5,0,52,76.9230769230769,13.4615384615385,9.61538461538462,0
"58",58,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","All Students","All","Math",80,21,0,0,101,79.2079207920792,20.7920792079208,0,0
"59",59,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","foster","No","Math",80,21,0,0,101,79.2079207920792,20.7920792079208,0,0
"60",60,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Grade","11","Math",80,21,0,0,101,79.2079207920792,20.7920792079208,0,0
"61",61,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","homeless","No","Math",80,21,0,0,101,79.2079207920792,20.7920792079208,0,0
"62",62,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","iepdata","NOT SWD","Math",69,19,0,0,88,78.4090909090909,21.5909090909091,0,0
"63",63,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","iepdata","SWD","Math",11,2,0,0,13,84.6153846153846,15.3846153846154,0,0
"64",64,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lep","ELL","Math",49,4,0,0,53,92.4528301886792,7.54716981132075,0,0
"65",65,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lep","Not ELL","Math",31,17,0,0,48,64.5833333333333,35.4166666666667,0,0
"66",66,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lunchdata","No","Math",10,1,0,0,11,90.9090909090909,9.09090909090909,0,0
"67",67,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","lunchdata","Yes","Math",70,20,0,0,90,77.7777777777778,22.2222222222222,0,0
"68",68,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","migrant","No","Math",80,21,0,0,101,79.2079207920792,20.7920792079208,0,0
"69",69,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","military","No","Math",80,21,0,0,101,79.2079207920792,20.7920792079208,0,0
"70",70,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","AS7","Math",0,0,0,0,0,0,0,0,0
"71",71,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","BL7","Math",0,0,0,0,0,0,0,0,0
"72",72,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","HI7","Math",66,16,0,0,82,80.4878048780488,19.5121951219512,0,0
"73",73,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","MU7","Math",0,0,0,0,0,0,0,0,0
"74",74,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","Race7","WH7","Math",0,0,0,0,0,0,0,0,0
"75",75,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","sex","Female","Math",45,6,0,0,51,88.2352941176471,11.7647058823529,0,0
"76",76,28,"Providence",28113,2018,"Pre Takeover","Dr. Jorge Alvarez High School","High School","Reservoir","No","sex","Male","Math",35,15,0,0,50,70,30,0,0
"77",77,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","All Students","All","ELA",52,112,33,5,202,25.7425742574257,55.4455445544555,16.3366336633663,2.47524752475248
"78",78,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","foster","No","ELA",52,112,33,5,202,25.7425742574257,55.4455445544555,16.3366336633663,2.47524752475248
"79",79,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Grade","3","ELA",19,63,16,2,100,19,63,16,2
"80",80,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Grade","4","ELA",33,49,17,3,102,32.3529411764706,48.0392156862745,16.6666666666667,2.94117647058824
"81",81,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","homeless","No","ELA",51,110,33,5,199,25.6281407035176,55.2763819095477,16.5829145728643,2.51256281407035
"82",82,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","homeless","Yes","ELA",0,0,0,0,0,0,0,0,0
"83",83,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","iepdata","NOT SWD","ELA",35,101,33,5,174,20.1149425287356,58.0459770114943,18.9655172413793,2.8735632183908
"84",84,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","iepdata","SWD","ELA",17,11,0,0,28,60.7142857142857,39.2857142857143,0,0
"85",85,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lep","ELL","ELA",35,43,13,2,93,37.6344086021505,46.2365591397849,13.9784946236559,2.1505376344086
"86",86,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lep","Not ELL","ELA",17,69,20,3,109,15.5963302752294,63.302752293578,18.348623853211,2.75229357798165
"87",87,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lunchdata","No","ELA",2,5,3,1,11,18.1818181818182,45.4545454545455,27.2727272727273,9.09090909090909
"88",88,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lunchdata","Yes","ELA",50,107,30,4,191,26.1780104712042,56.020942408377,15.7068062827225,2.09424083769634
"89",89,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","migrant","No","ELA",52,112,33,5,202,25.7425742574257,55.4455445544555,16.3366336633663,2.47524752475248
"90",90,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","military","No","ELA",52,112,33,5,202,25.7425742574257,55.4455445544555,16.3366336633663,2.47524752475248
"91",91,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","AS7","ELA",3,14,6,1,24,12.5,58.3333333333333,25,4.16666666666667
"92",92,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","BL7","ELA",3,15,2,1,21,14.2857142857143,71.4285714285714,9.52380952380952,4.76190476190476
"93",93,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","HI7","ELA",43,66,24,3,136,31.6176470588235,48.5294117647059,17.6470588235294,2.20588235294118
"94",94,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","MU7","ELA",0,0,0,0,0,0,0,0,0
"95",95,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","WH7","ELA",3,9,1,0,13,23.0769230769231,69.2307692307692,7.69230769230769,0
"96",96,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","sex","Female","ELA",24,56,19,4,103,23.3009708737864,54.368932038835,18.4466019417476,3.88349514563107
"97",97,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","sex","Male","ELA",28,56,14,1,99,28.2828282828283,56.5656565656566,14.1414141414141,1.01010101010101
"98",98,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","All Students","All","Math",74,92,38,2,206,35.9223300970874,44.6601941747573,18.4466019417476,0.970873786407767
"99",99,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","foster","No","Math",74,92,38,2,206,35.9223300970874,44.6601941747573,18.4466019417476,0.970873786407767
"100",100,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Grade","3","Math",34,48,18,1,101,33.6633663366337,47.5247524752475,17.8217821782178,0.99009900990099
"101",101,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Grade","4","Math",40,44,20,1,105,38.0952380952381,41.9047619047619,19.047619047619,0.952380952380952
"102",102,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","homeless","No","Math",73,92,36,2,203,35.9605911330049,45.320197044335,17.7339901477833,0.985221674876847
"103",103,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","homeless","Yes","Math",0,0,0,0,0,0,0,0,0
"104",104,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","iepdata","NOT SWD","Math",56,85,35,2,178,31.4606741573034,47.752808988764,19.6629213483146,1.12359550561798
"105",105,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","iepdata","SWD","Math",18,7,3,0,28,64.2857142857143,25,10.7142857142857,0
"106",106,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lep","ELL","Math",43,41,11,1,96,44.7916666666667,42.7083333333333,11.4583333333333,1.04166666666667
"107",107,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lep","Not ELL","Math",31,51,27,1,110,28.1818181818182,46.3636363636364,24.5454545454545,0.909090909090909
"108",108,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lunchdata","No","Math",2,4,5,0,11,18.1818181818182,36.3636363636364,45.4545454545455,0
"109",109,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","lunchdata","Yes","Math",72,88,33,2,195,36.9230769230769,45.1282051282051,16.9230769230769,1.02564102564103
"110",110,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","migrant","No","Math",74,92,38,2,206,35.9223300970874,44.6601941747573,18.4466019417476,0.970873786407767
"111",111,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","military","No","Math",74,92,38,2,206,35.9223300970874,44.6601941747573,18.4466019417476,0.970873786407767
"112",112,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","AS7","Math",2,13,9,0,24,8.33333333333333,54.1666666666667,37.5,0
"113",113,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","BL7","Math",5,10,6,0,21,23.8095238095238,47.6190476190476,28.5714285714286,0
"114",114,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","HI7","Math",58,60,20,2,140,41.4285714285714,42.8571428571429,14.2857142857143,1.42857142857143
"115",115,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","MU7","Math",0,0,0,0,0,0,0,0,0
"116",116,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","Race7","WH7","Math",6,5,2,0,13,46.1538461538462,38.4615384615385,15.3846153846154,0
"117",117,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","sex","Female","Math",40,46,18,1,105,38.0952380952381,43.8095238095238,17.1428571428571,0.952380952380952
"118",118,28,"Providence",28115,2018,"Pre Takeover","Asa Messer Elementary School","Elementary School","Federal Hill","No","sex","Male","Math",34,46,20,1,101,33.6633663366337,45.5445544554455,19.8019801980198,0.99009900990099
"119",119,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","All Students","All","ELA",84,121,27,1,233,36.0515021459227,51.931330472103,11.587982832618,0.429184549356223
"120",120,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","foster","No","ELA",84,121,27,1,233,36.0515021459227,51.931330472103,11.587982832618,0.429184549356223
"121",121,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Grade","3","ELA",25,54,8,1,88,28.4090909090909,61.3636363636364,9.09090909090909,1.13636363636364
"122",122,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Grade","4","ELA",31,35,12,0,78,39.7435897435897,44.8717948717949,15.3846153846154,0
"123",123,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Grade","5","ELA",28,32,7,0,67,41.7910447761194,47.7611940298507,10.4477611940299,0
"124",124,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","homeless","No","ELA",83,121,27,1,232,35.7758620689655,52.1551724137931,11.6379310344828,0.431034482758621
"125",125,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","homeless","Yes","ELA",0,0,0,0,0,0,0,0,0
"126",126,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","iepdata","NOT SWD","ELA",74,115,26,1,216,34.2592592592593,53.2407407407407,12.037037037037,0.462962962962963
"127",127,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","iepdata","SWD","ELA",10,6,1,0,17,58.8235294117647,35.2941176470588,5.88235294117647,0
"128",128,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","lep","ELL","ELA",62,56,3,0,121,51.2396694214876,46.2809917355372,2.47933884297521,0
"129",129,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","lep","Not ELL","ELA",22,65,24,1,112,19.6428571428571,58.0357142857143,21.4285714285714,0.892857142857143
"130",130,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","lunchdata","No","ELA",6,9,3,0,18,33.3333333333333,50,16.6666666666667,0
"131",131,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","lunchdata","Yes","ELA",78,112,24,1,215,36.2790697674419,52.093023255814,11.1627906976744,0.465116279069767
"132",132,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","migrant","No","ELA",84,121,27,1,233,36.0515021459227,51.931330472103,11.587982832618,0.429184549356223
"133",133,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","military","No","ELA",84,121,27,1,233,36.0515021459227,51.931330472103,11.587982832618,0.429184549356223
"134",134,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Race7","AM7","ELA",0,0,0,0,0,0,0,0,0
"135",135,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Race7","AS7","ELA",0,0,0,0,0,0,0,0,0
"136",136,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Race7","BL7","ELA",10,17,1,0,28,35.7142857142857,60.7142857142857,3.57142857142857,0
"137",137,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Race7","HI7","ELA",62,86,22,0,170,36.4705882352941,50.5882352941176,12.9411764705882,0
"138",138,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Race7","MU7","ELA",0,0,0,0,0,0,0,0,0
"139",139,28,"Providence",28116,2018,"Pre Takeover","Alan Shawn Feinstein Elementary at Broad Street","Elementary School","Washington Park","No","Race7","WH7","ELA",6,8,2,1,17,35.2941176470588,47.0588235294118,11.7647058823529,5.88235294117647
